cluster,product,product_count,product_share_within_cluster,product_rank
0,airpods,1089,0.016297515713858127,1
0,asparagus,876,0.013109847351092488,2
0,laptop,632,0.00945824603412152,3
0,bluetooth headphones,631,0.009443280454953606,4
0,energy drink,598,0.00894941634241245,5
0,energy bar,588,0.008799760550733313,6
0,protein bar,584,0.008739898234061658,7
0,brownies,573,0.008575276863214607,8
0,butter,563,0.008425621071535468,9
0,tomatoes,529,0.007916791379826399,10
1,asparagus,8180,0.017196940710498543,1
1,airpods,7440,0.015641227247690605,2
1,tomatoes,4841,0.010177309288450299,3
1,spinach,4565,0.009597070213132745,4
1,carrots,4550,0.00956553548077853,5
1,bluetooth headphones,4290,0.009018933453305471,6
1,energy drink,4255,0.008945352411145635,7
1,avocado,4182,0.008791883380355123,8
1,salad,4063,0.008541707837011685,9
1,energy bar,3903,0.008205337358566725,10
2,dog food,3663,0.01570694098426733,1
2,babies food,3441,0.014755005167039007,2
2,napkins,3104,0.013309949444489707,3
2,cooking oil,2999,0.01285970953093577,4
2,cat food,2651,0.011367485817442723,5
2,chicken,2515,0.010784317929410958,6
2,toilet paper,2463,0.010561341972222341,7
2,cereals,2418,0.010368382009270654,8
2,milk,2257,0.009678014141821284,9
2,asparagus,2222,0.009527934170636639,10
3,toothpaste,2926,0.03470237318690181,1
3,deodorant,2915,0.03457191313732699,2
3,shampoo,2915,0.03457191313732699,3
3,shower gel,2881,0.03416867298409573,4
3,tooth brush,2880,0.03415681297958893,5
3,protein bar,2021,0.023969069108246262,6
3,energy bar,2020,0.023957209103739458,7
3,body spray,1838,0.02179868828350155,8
3,toilet paper,1835,0.02176310826998114,9
3,antioxydant juice,1815,0.021525908179845107,10
4,cereals,3138,0.039243149956855045,1
4,fresh bread,3128,0.03911809211760439,2
4,butter,3071,0.03840526243387567,3
4,eggs,3014,0.03769243275014694,4
4,bacon,1895,0.023698460537998824,5
4,oatmeal,1833,0.022923101934644773,6
4,tea,1805,0.022572939984742944,7
4,honey,1804,0.022560434200817877,8
4,milk,1715,0.021447419431487064,9
4,black tea,1316,0.01645761164538599,10
