k,inertia,silhouette_score,calinski_harabasz_score,davies_bouldin_score,min_cluster_size,max_cluster_size,min_cluster_percentage,max_cluster_percentage
2,606740.8597782997,0.2123450711069,4542.98263387554,2.3594276787942405,7514,25524,22.743507476239483,77.25649252376053
3,554049.4979251334,0.13319137262586023,4058.291747385546,2.1291599723379,5808,20664,17.57975664386464,62.54615896846056
4,511641.30240524694,0.1242965307821567,3842.379978965334,2.266194916579814,4740,11201,14.347115442823416,33.903383982081245
5,478598.4685563719,0.1352219973164422,3650.8088411753197,2.108629694923937,2234,10841,6.761910527271627,32.813729644651616
6,455569.7761260434,0.12731080256192914,3402.138050292508,2.0962598688086183,2008,9816,6.077849748774139,29.71124160058115
7,436732.33875682385,0.11270427983525597,3194.767036911031,2.0661398860583016,1894,7818,5.732792541921424,23.663660027846724
8,418882.91444817395,0.12196737752487584,3056.038448673023,2.0301525269632315,1764,6028,5.339306253405169,18.2456565167383
9,404135.5538601894,0.12560972738146867,2922.1861577409522,1.9767758062387506,1502,5583,4.546280041164719,16.898722682971123
10,392759.01059999544,0.13080785558332908,2778.9543835233485,2.011943176030528,1496,5355,4.5281191355408925,16.208608269265696
