model,algorithm,cluster,count,percentage,is_noise
KMeans_k5_sample,KMeans,0,839,16.78,False
KMeans_k5_sample,KMeans,1,2773,55.46,False
KMeans_k5_sample,KMeans,2,443,8.86,False
KMeans_k5_sample,KMeans,3,396,7.920000000000001,False
KMeans_k5_sample,KMeans,4,549,10.979999999999999,False
Agglomerative_ward_k4_sample,Agglomerative_ward,0,1129,22.58,False
Agglomerative_ward_k4_sample,Agglomerative_ward,1,628,12.559999999999999,False
Agglomerative_ward_k4_sample,Agglomerative_ward,2,458,9.16,False
Agglomerative_ward_k4_sample,Agglomerative_ward,3,2785,55.7,False
Agglomerative_ward_k5_sample,Agglomerative_ward,0,628,12.559999999999999,False
Agglomerative_ward_k5_sample,Agglomerative_ward,1,2785,55.7,False
Agglomerative_ward_k5_sample,Agglomerative_ward,2,458,9.16,False
Agglomerative_ward_k5_sample,Agglomerative_ward,3,990,19.8,False
Agglomerative_ward_k5_sample,Agglomerative_ward,4,139,2.78,False
Agglomerative_ward_k6_sample,Agglomerative_ward,0,2785,55.7,False
Agglomerative_ward_k6_sample,Agglomerative_ward,1,990,19.8,False
Agglomerative_ward_k6_sample,Agglomerative_ward,2,458,9.16,False
Agglomerative_ward_k6_sample,Agglomerative_ward,3,227,4.54,False
Agglomerative_ward_k6_sample,Agglomerative_ward,4,139,2.78,False
Agglomerative_ward_k6_sample,Agglomerative_ward,5,401,8.02,False
DBSCAN_eps2_min10_sample,DBSCAN,-1,2184,43.68,True
DBSCAN_eps2_min10_sample,DBSCAN,0,2583,51.66,False
DBSCAN_eps2_min10_sample,DBSCAN,1,33,0.66,False
DBSCAN_eps2_min10_sample,DBSCAN,2,173,3.46,False
DBSCAN_eps2_min10_sample,DBSCAN,3,27,0.54,False
DBSCAN_eps2_min20_sample,DBSCAN,-1,2647,52.94,True
DBSCAN_eps2_min20_sample,DBSCAN,0,2172,43.44,False
DBSCAN_eps2_min20_sample,DBSCAN,1,89,1.78,False
DBSCAN_eps2_min20_sample,DBSCAN,2,81,1.6199999999999999,False
DBSCAN_eps2_min20_sample,DBSCAN,3,11,0.22,False
DBSCAN_eps3_min10_sample,DBSCAN,-1,423,8.459999999999999,True
DBSCAN_eps3_min10_sample,DBSCAN,0,4577,91.53999999999999,False
DBSCAN_eps3_min20_sample,DBSCAN,-1,482,9.64,True
DBSCAN_eps3_min20_sample,DBSCAN,0,4518,90.36,False
DBSCAN_eps4_min10_sample,DBSCAN,-1,110,2.1999999999999997,True
DBSCAN_eps4_min10_sample,DBSCAN,0,4890,97.8,False
DBSCAN_eps4_min20_sample,DBSCAN,-1,128,2.56,True
DBSCAN_eps4_min20_sample,DBSCAN,0,4872,97.44,False
DBSCAN_eps5_min10_sample,DBSCAN,-1,42,0.84,True
DBSCAN_eps5_min10_sample,DBSCAN,0,4958,99.16,False
DBSCAN_eps5_min20_sample,DBSCAN,-1,44,0.88,True
DBSCAN_eps5_min20_sample,DBSCAN,0,4956,99.11999999999999,False
