model,algorithm,sample_size,n_clusters,eps,min_samples,number_of_clusters_excluding_noise,noise_count,noise_percentage,largest_non_noise_cluster_percentage,silhouette_score,calinski_harabasz_score,davies_bouldin_score,min_cluster_size,max_cluster_size,min_cluster_percentage,max_cluster_percentage,inertia
KMeans_k5_sample,KMeans,5000,5.0,,,5,0,0.0,33.040000000000006,0.13536465970704137,554.0604941861916,2.1017507453411364,365,1652,7.3,33.040000000000006,73270.84712006085
Agglomerative_ward_k4_sample,Agglomerative_ward,5000,4.0,,,4,0,0.0,36.559999999999995,0.1023860048783541,503.3733971846239,2.521293699345542,751,1828,15.02,36.559999999999995,
Agglomerative_ward_k5_sample,Agglomerative_ward,5000,5.0,,,5,0,0.0,36.559999999999995,0.11684197031008191,474.77653150606676,2.2724364201315845,197,1828,3.94,36.559999999999995,
Agglomerative_ward_k6_sample,Agglomerative_ward,5000,6.0,,,6,0,0.0,36.559999999999995,0.1001712110757398,443.99585772549443,2.21390741887432,197,1828,3.94,36.559999999999995,
DBSCAN_eps2_min10_sample,DBSCAN,5000,,2.0,10.0,10,4295,85.9,3.9,0.13545193186114493,106.4482604482385,1.6180139318382558,4,195,0.08,3.9,
DBSCAN_eps2_min20_sample,DBSCAN,5000,,2.0,20.0,5,4655,93.10000000000001,3.26,0.2846222782316231,120.41442021573518,1.6876303676171993,13,163,0.26,3.26,
DBSCAN_eps3_min10_sample,DBSCAN,5000,,3.0,10.0,1,808,16.16,83.84,,,,4192,4192,83.84,83.84,
DBSCAN_eps3_min20_sample,DBSCAN,5000,,3.0,20.0,2,968,19.36,71.26,0.22766820145531702,596.3931568372346,1.5634356433083532,469,3563,9.379999999999999,71.26,
DBSCAN_eps4_min10_sample,DBSCAN,5000,,4.0,10.0,1,190,3.8,96.2,,,,4810,4810,96.2,96.2,
DBSCAN_eps4_min20_sample,DBSCAN,5000,,4.0,20.0,1,216,4.32,95.67999999999999,,,,4784,4784,95.67999999999999,95.67999999999999,
DBSCAN_eps5_min10_sample,DBSCAN,5000,,5.0,10.0,1,54,1.08,98.92,,,,4946,4946,98.92,98.92,
DBSCAN_eps5_min20_sample,DBSCAN,5000,,5.0,20.0,1,70,1.4000000000000001,98.6,,,,4930,4930,98.6,98.6,
